,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Marília Mendonça,1,3669068,Todo Mundo Vai Sofrer - Ao Vivo,0.281,https://api.spotify.com/v1/audio-analysis/4E6RdcCWMiHTu7zy1VTNDo,0.621,154661,0.743,4E6RdcCWMiHTu7zy1VTNDo,0.0,3,0.411,-3.864,1,0.0738,111.454,4,https://api.spotify.com/v1/tracks/4E6RdcCWMiHTu7zy1VTNDo,audio_features,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,0.581
1,Jorge & Mateus,2,3579092,Tijolão - Ao Vivo,0.469,https://api.spotify.com/v1/audio-analysis/6QwFUcPc5nhsqZuhXUYtV7,0.637,175219,0.877,6QwFUcPc5nhsqZuhXUYtV7,0.0,4,0.343,-3.68,0,0.198,118.889,4,https://api.spotify.com/v1/tracks/6QwFUcPc5nhsqZuhXUYtV7,audio_features,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,0.691
2,João Gustavo e Murilo,3,3472416,Lençol Dobrado,0.361,https://api.spotify.com/v1/audio-analysis/5pRGXCDY0eT6R1QicAn7Uk,0.707,179165,0.664,5pRGXCDY0eT6R1QicAn7Uk,0.0,2,0.331,-5.042,1,0.0382,124.991,4,https://api.spotify.com/v1/tracks/5pRGXCDY0eT6R1QicAn7Uk,audio_features,spotify:track:5pRGXCDY0eT6R1QicAn7Uk,0.674
3,Luan Santana,4,3289651,quando a bad bater - ao vivo,0.307,https://api.spotify.com/v1/audio-analysis/1nVIlX3h3Ds9bH6JMQopIU,0.647,179722,0.787,1nVIlX3h3Ds9bH6JMQopIU,0.0,1,0.532,-4.767,1,0.0413,128.121,4,https://api.spotify.com/v1/tracks/1nVIlX3h3Ds9bH6JMQopIU,audio_features,spotify:track:1nVIlX3h3Ds9bH6JMQopIU,0.535
4,MC Kevinho,5,2839233,Uma nora pra cada dia,0.0394,https://api.spotify.com/v1/audio-analysis/2bbFhnxYjeb9jYEX2MDKLQ,0.888,131200,0.528,2bbFhnxYjeb9jYEX2MDKLQ,0.0,9,0.0964,-8.751,0,0.192,150.181,4,https://api.spotify.com/v1/tracks/2bbFhnxYjeb9jYEX2MDKLQ,audio_features,spotify:track:2bbFhnxYjeb9jYEX2MDKLQ,0.924
5,MC JottaPê,6,2822673,Sentou e Gostou,0.261,https://api.spotify.com/v1/audio-analysis/6V43u5SCjkfMpxMAXRPifr,0.702,163253,0.672,6V43u5SCjkfMpxMAXRPifr,0.000988,7,0.0916,-3.308,1,0.397,131.453,4,https://api.spotify.com/v1/tracks/6V43u5SCjkfMpxMAXRPifr,audio_features,spotify:track:6V43u5SCjkfMpxMAXRPifr,0.722
6,Matheus & Kauan,7,2817093,Vou Ter Que Superar - Ao Vivo,0.768,https://api.spotify.com/v1/audio-analysis/6sRLrSetyIwIKhW1eMlUNP,0.505,189059,0.721,6sRLrSetyIwIKhW1eMlUNP,0.0,1,0.869,-5.86,1,0.061,106.248,4,https://api.spotify.com/v1/tracks/6sRLrSetyIwIKhW1eMlUNP,audio_features,spotify:track:6sRLrSetyIwIKhW1eMlUNP,0.421
7,Felipe Original,8,2781844,Hit Contagiante,0.132,https://api.spotify.com/v1/audio-analysis/5dKesZwp6deuhEeW8F1UEi,0.819,137125,0.684,5dKesZwp6deuhEeW8F1UEi,0.0,6,0.0942,-7.169,0,0.119,170.187,4,https://api.spotify.com/v1/tracks/5dKesZwp6deuhEeW8F1UEi,audio_features,spotify:track:5dKesZwp6deuhEeW8F1UEi,0.959
8,Gusttavo Lima,9,2651004,Milu,0.261,https://api.spotify.com/v1/audio-analysis/1nqaSoiLuqevDes4S18sO7,0.845,224997,0.787,1nqaSoiLuqevDes4S18sO7,3.43e-06,2,0.102,-2.683,1,0.0374,124.983,4,https://api.spotify.com/v1/tracks/1nqaSoiLuqevDes4S18sO7,audio_features,spotify:track:1nqaSoiLuqevDes4S18sO7,0.882
9,Pk,10,2614976,Quando a vontade bater (Participação especial de PK Delas),0.539,https://api.spotify.com/v1/audio-analysis/26WpOBpHiIMoBuMEIwtOCH,0.621,166400,0.7,26WpOBpHiIMoBuMEIwtOCH,0.0,8,0.152,-5.502,1,0.247,149.902,4,https://api.spotify.com/v1/tracks/26WpOBpHiIMoBuMEIwtOCH,audio_features,spotify:track:26WpOBpHiIMoBuMEIwtOCH,0.704
10,MC Kevin o Chris,11,2521338,Evoluiu,0.466,https://api.spotify.com/v1/audio-analysis/0WhDotK0QXigmsrlw0DxKK,0.776,179644,0.465,0WhDotK0QXigmsrlw0DxKK,0.0,7,0.363,-6.368,0,0.434,149.829,4,https://api.spotify.com/v1/tracks/0WhDotK0QXigmsrlw0DxKK,audio_features,spotify:track:0WhDotK0QXigmsrlw0DxKK,0.694
11,Lauana Prado,12,2481458,Cobaia,0.125,https://api.spotify.com/v1/audio-analysis/1xyVMQx51Kab6eLVtE6twx,0.751,219442,0.709,1xyVMQx51Kab6eLVtE6twx,0.0,8,0.807,-4.216,1,0.0382,114.094,4,https://api.spotify.com/v1/tracks/1xyVMQx51Kab6eLVtE6twx,audio_features,spotify:track:1xyVMQx51Kab6eLVtE6twx,0.515
12,Shawn Mendes,13,2358428,Señorita,0.0392,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,0.759,190800,0.548,6v3KW9xbzN5yKLt9YKDYA2,0.0,9,0.0828,-6.049,0,0.029,116.967,4,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,audio_features,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,0.749
13,Matheus & Kauan,14,2282679,Quarta Cadeira - Ao Vivo,0.589,https://api.spotify.com/v1/audio-analysis/5q0NlM6Pm8Pp3orq7zGiRn,0.565,224002,0.82,5q0NlM6Pm8Pp3orq7zGiRn,0.0,5,0.621,-5.031,0,0.243,76.471,4,https://api.spotify.com/v1/tracks/5q0NlM6Pm8Pp3orq7zGiRn,audio_features,spotify:track:5q0NlM6Pm8Pp3orq7zGiRn,0.604
14,Zé Neto & Cristiano,15,2204035,Ferida Curada,0.49,https://api.spotify.com/v1/audio-analysis/1U3tv41tFRgOfbytpuYQrR,0.49,159164,0.845,1U3tv41tFRgOfbytpuYQrR,0.0,2,0.213,-3.359,1,0.0973,146.105,4,https://api.spotify.com/v1/tracks/1U3tv41tFRgOfbytpuYQrR,audio_features,spotify:track:1U3tv41tFRgOfbytpuYQrR,0.548
15,Marília Mendonça,16,2086461,Bebi Liguei - Ao Vivo,0.362,https://api.spotify.com/v1/audio-analysis/3RbXsVQr4jeTxvT35Hssq3,0.603,159780,0.804,3RbXsVQr4jeTxvT35Hssq3,0.0,0,0.743,-4.253,1,0.198,153.883,4,https://api.spotify.com/v1/tracks/3RbXsVQr4jeTxvT35Hssq3,audio_features,spotify:track:3RbXsVQr4jeTxvT35Hssq3,0.682
16,Diego & Victor Hugo,17,2011654,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,0.724,https://api.spotify.com/v1/audio-analysis/4gDvg62vG96w0qJaF6wzcd,0.542,182735,0.876,4gDvg62vG96w0qJaF6wzcd,0.0,6,0.925,-3.378,1,0.0972,118.777,4,https://api.spotify.com/v1/tracks/4gDvg62vG96w0qJaF6wzcd,audio_features,spotify:track:4gDvg62vG96w0qJaF6wzcd,0.634
17,Zé Neto & Cristiano,18,1998209,Estado Decadente - Acústico,0.586,https://api.spotify.com/v1/audio-analysis/4eB8rsNNm5791m3uvEBNLR,0.757,173831,0.687,4eB8rsNNm5791m3uvEBNLR,0.0,1,0.111,-4.78,1,0.0658,117.927,4,https://api.spotify.com/v1/tracks/4eB8rsNNm5791m3uvEBNLR,audio_features,spotify:track:4eB8rsNNm5791m3uvEBNLR,0.583
18,Felipe Araújo,19,1909071,Espaçosa Demais - Ao Vivo,0.375,https://api.spotify.com/v1/audio-analysis/4lEw9Id7kLDSJ6KRdaenM9,0.676,179100,0.888,4lEw9Id7kLDSJ6KRdaenM9,0.0,10,0.231,-3.658,1,0.0783,160.034,4,https://api.spotify.com/v1/tracks/4lEw9Id7kLDSJ6KRdaenM9,audio_features,spotify:track:4lEw9Id7kLDSJ6KRdaenM9,0.711
19,Xand Avião,20,1846939,Algo Mais (Amante) - Ao Vivo,0.285,https://api.spotify.com/v1/audio-analysis/4jGzR5Vri06Y5T9SxM7m5P,0.697,231680,0.844,4jGzR5Vri06Y5T9SxM7m5P,0.0,9,0.753,-3.076,1,0.0575,139.993,4,https://api.spotify.com/v1/tracks/4jGzR5Vri06Y5T9SxM7m5P,audio_features,spotify:track:4jGzR5Vri06Y5T9SxM7m5P,0.665
20,Marília Mendonça,21,1846204,Bebaça - Ao Vivo,0.652,https://api.spotify.com/v1/audio-analysis/6YjyT6MEMsMc41NNWk2dYg,0.663,175203,0.884,6YjyT6MEMsMc41NNWk2dYg,0.0,2,0.156,-3.4,0,0.0716,172.059,4,https://api.spotify.com/v1/tracks/6YjyT6MEMsMc41NNWk2dYg,audio_features,spotify:track:6YjyT6MEMsMc41NNWk2dYg,0.875
21,Lil Nas X,22,1833446,Old Town Road - Remix,0.0533,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,0.878,157067,0.619,2YpeDb67231RjR0MgVLzsG,0.0,6,0.113,-5.56,1,0.102,136.041,4,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,0.639
