,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Moha La Squale,1,2035548,Ma belle,0.764,https://api.spotify.com/v1/audio-analysis/3Aq1SJ1hWlfazx8IIC6u1D,0.739,158276,0.656,3Aq1SJ1hWlfazx8IIC6u1D,4.09e-06,0,0.0896,-5.516,1,0.0578,82.011,4,https://api.spotify.com/v1/tracks/3Aq1SJ1hWlfazx8IIC6u1D,audio_features,spotify:track:3Aq1SJ1hWlfazx8IIC6u1D,0.47
1,Vegedream,2,1752859,Elle est bonne sa mère,0.329,https://api.spotify.com/v1/audio-analysis/7j56bK7gq6iV7zsD6lbP4J,0.787,196880,0.741,7j56bK7gq6iV7zsD6lbP4J,1.88e-05,4,0.341,-5.484,0,0.0592,105.0,4,https://api.spotify.com/v1/tracks/7j56bK7gq6iV7zsD6lbP4J,audio_features,spotify:track:7j56bK7gq6iV7zsD6lbP4J,0.466
2,DJ Snake,3,1732950,Loco Contigo (feat. J. Balvin & Tyga),0.276,https://api.spotify.com/v1/audio-analysis/6osaMSJh9NguagEDQcZaKx,0.823,185195,0.71,6osaMSJh9NguagEDQcZaKx,2.17e-06,6,0.152,-3.896,0,0.0688,96.024,4,https://api.spotify.com/v1/tracks/6osaMSJh9NguagEDQcZaKx,audio_features,spotify:track:6osaMSJh9NguagEDQcZaKx,0.376
3,Shawn Mendes,4,1538448,Señorita,0.0392,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,0.759,190800,0.548,6v3KW9xbzN5yKLt9YKDYA2,0.0,9,0.0828,-6.049,0,0.029,116.967,4,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,audio_features,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,0.749
4,Niska,5,1289092,Médicament,0.693,https://api.spotify.com/v1/audio-analysis/55mCsKCo4bPuYtZvHppp8z,0.665,198857,0.653,55mCsKCo4bPuYtZvHppp8z,0.0,6,0.0769,-6.686,0,0.0893,157.38,3,https://api.spotify.com/v1/tracks/55mCsKCo4bPuYtZvHppp8z,audio_features,spotify:track:55mCsKCo4bPuYtZvHppp8z,0.381
5,Lil Nas X,6,1258964,Old Town Road - Remix,0.0533,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,0.878,157067,0.619,2YpeDb67231RjR0MgVLzsG,0.0,6,0.113,-5.56,1,0.102,136.041,4,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,0.639
6,Nekfeu,7,1112446,Tricheur,0.407,https://api.spotify.com/v1/audio-analysis/7C7GtWZmyicqjBDbAWPsCp,0.758,248467,0.638,7C7GtWZmyicqjBDbAWPsCp,0.0,1,0.178,-7.984,0,0.253,137.981,4,https://api.spotify.com/v1/tracks/7C7GtWZmyicqjBDbAWPsCp,audio_features,spotify:track:7C7GtWZmyicqjBDbAWPsCp,0.188
7,PLK,8,1090022,Problèmes,0.387,https://api.spotify.com/v1/audio-analysis/5Q9gwUMjyhkgrQCB3EzIEZ,0.616,189340,0.568,5Q9gwUMjyhkgrQCB3EzIEZ,0.0,11,0.201,-8.942,0,0.0628,86.678,4,https://api.spotify.com/v1/tracks/5Q9gwUMjyhkgrQCB3EzIEZ,audio_features,spotify:track:5Q9gwUMjyhkgrQCB3EzIEZ,0.61
8,Dadju,9,999680,Compliqué,0.524,https://api.spotify.com/v1/audio-analysis/2On7uB8PN8JJmBNsms8unQ,0.536,213799,0.752,2On7uB8PN8JJmBNsms8unQ,0.0,1,0.196,-6.556,1,0.0586,76.217,4,https://api.spotify.com/v1/tracks/2On7uB8PN8JJmBNsms8unQ,audio_features,spotify:track:2On7uB8PN8JJmBNsms8unQ,0.939
9,Lefa,10,999586,Bitch (feat. Vald),0.602,https://api.spotify.com/v1/audio-analysis/65hdAdd1skq94ecWH4vfJI,0.783,235827,0.663,65hdAdd1skq94ecWH4vfJI,0.0,8,0.519,-7.884,0,0.312,75.046,4,https://api.spotify.com/v1/tracks/65hdAdd1skq94ecWH4vfJI,audio_features,spotify:track:65hdAdd1skq94ecWH4vfJI,0.58
10,Jul,11,990512,JCVD,0.479,https://api.spotify.com/v1/audio-analysis/10iesoGb4mCYTcur1QfdO9,0.847,194267,0.83,10iesoGb4mCYTcur1QfdO9,2.54e-06,7,0.068,-5.873,0,0.034,130.05,4,https://api.spotify.com/v1/tracks/10iesoGb4mCYTcur1QfdO9,audio_features,spotify:track:10iesoGb4mCYTcur1QfdO9,0.895
11,Niska,12,971522,Du lundi au lundi,0.298,https://api.spotify.com/v1/audio-analysis/2rJwZ2hpAm35mpqf5Ceuh9,0.818,164987,0.615,2rJwZ2hpAm35mpqf5Ceuh9,1.16e-05,2,0.0681,-6.791,1,0.253,130.918,4,https://api.spotify.com/v1/tracks/2rJwZ2hpAm35mpqf5Ceuh9,audio_features,spotify:track:2rJwZ2hpAm35mpqf5Ceuh9,0.398
12,Ninho,13,953028,Maman ne le sait pas (feat. Niska),0.399,https://api.spotify.com/v1/audio-analysis/5c2HadbVTsMKjja4gohEFI,0.755,203301,0.875,5c2HadbVTsMKjja4gohEFI,0.0,7,0.115,-5.944,0,0.193,145.008,4,https://api.spotify.com/v1/tracks/5c2HadbVTsMKjja4gohEFI,audio_features,spotify:track:5c2HadbVTsMKjja4gohEFI,0.393
13,Roméo Elvis,14,897314,Soleil,0.259,https://api.spotify.com/v1/audio-analysis/5SNfvgi4TUwx4Si0lFn3G2,0.702,172293,0.766,5SNfvgi4TUwx4Si0lFn3G2,0.0,4,0.174,-6.578,0,0.172,124.011,4,https://api.spotify.com/v1/tracks/5SNfvgi4TUwx4Si0lFn3G2,audio_features,spotify:track:5SNfvgi4TUwx4Si0lFn3G2,0.512
14,Koba LaD,15,879274,RR 9.1,0.0703,https://api.spotify.com/v1/audio-analysis/28fP6qcMGPfYOjrx8AOWFn,0.942,200507,0.564,28fP6qcMGPfYOjrx8AOWFn,0.0,2,0.078,-6.293,1,0.407,126.069,4,https://api.spotify.com/v1/tracks/28fP6qcMGPfYOjrx8AOWFn,audio_features,spotify:track:28fP6qcMGPfYOjrx8AOWFn,0.393
15,Niska,16,871551,Passa passa (#BooskaMechant),0.117,https://api.spotify.com/v1/audio-analysis/2AFEY781u68sON4BTSPJz4,0.748,182548,0.706,2AFEY781u68sON4BTSPJz4,0.0,1,0.0995,-5.524,1,0.251,150.035,4,https://api.spotify.com/v1/tracks/2AFEY781u68sON4BTSPJz4,audio_features,spotify:track:2AFEY781u68sON4BTSPJz4,0.168
16,Ed Sheeran,17,858864,I Don't Care (with Justin Bieber),0.0912,https://api.spotify.com/v1/audio-analysis/0hVXuCcriWRGvwMV1r5Yn9,0.798,219947,0.675,0hVXuCcriWRGvwMV1r5Yn9,0.0,6,0.0894,-5.041,1,0.0442,101.956,4,https://api.spotify.com/v1/tracks/0hVXuCcriWRGvwMV1r5Yn9,audio_features,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,0.842
17,Leto,18,854765,Tes parents (feat. Ninho),0.256,https://api.spotify.com/v1/audio-analysis/0G0ZyEQyc3IBcRnYCvtTwb,0.833,214320,0.688,0G0ZyEQyc3IBcRnYCvtTwb,0.0,0,0.373,-7.3,0,0.245,125.022,4,https://api.spotify.com/v1/tracks/0G0ZyEQyc3IBcRnYCvtTwb,audio_features,spotify:track:0G0ZyEQyc3IBcRnYCvtTwb,0.534
18,Ninho,19,852479,La vie qu'on mène,0.687,https://api.spotify.com/v1/audio-analysis/0Jh6iWjna1wk5le0Ahn7No,0.8,193444,0.756,0Jh6iWjna1wk5le0Ahn7No,2.06e-06,7,0.111,-4.4,0,0.0367,113.204,3,https://api.spotify.com/v1/tracks/0Jh6iWjna1wk5le0Ahn7No,audio_features,spotify:track:0Jh6iWjna1wk5le0Ahn7No,0.456
19,MEDUZA,20,840305,Piece Of Your Heart,0.0404,https://api.spotify.com/v1/audio-analysis/1DFD5Fotzgn6yYXkYsKiGs,0.677,152913,0.744,1DFD5Fotzgn6yYXkYsKiGs,0.00016,10,0.074,-6.806,0,0.0295,124.08,4,https://api.spotify.com/v1/tracks/1DFD5Fotzgn6yYXkYsKiGs,audio_features,spotify:track:1DFD5Fotzgn6yYXkYsKiGs,0.631
20,Maître Gims,21,817957,Hola Señorita,0.386,https://api.spotify.com/v1/audio-analysis/5vLEmh5EolySKTvXsyWSOg,0.588,206853,0.796,5vLEmh5EolySKTvXsyWSOg,0.0,0,0.198,-3.945,0,0.262,192.128,4,https://api.spotify.com/v1/tracks/5vLEmh5EolySKTvXsyWSOg,audio_features,spotify:track:5vLEmh5EolySKTvXsyWSOg,0.546
21,Aya Nakamura,22,798269,Pookie,0.0691,https://api.spotify.com/v1/audio-analysis/2QpUWi6VSNOt2WyH5FIeLD,0.912,180840,0.596,2QpUWi6VSNOt2WyH5FIeLD,0.0,6,0.0891,-7.718,0,0.0898,98.003,4,https://api.spotify.com/v1/tracks/2QpUWi6VSNOt2WyH5FIeLD,audio_features,spotify:track:2QpUWi6VSNOt2WyH5FIeLD,0.532
22,Dosseh,23,789658,L'odeur du charbon,0.576,https://api.spotify.com/v1/audio-analysis/6atrzNHhWlXTolcIKAjSq2,0.813,220960,0.524,6atrzNHhWlXTolcIKAjSq2,0.0,0,0.24,-8.66,1,0.118,133.974,4,https://api.spotify.com/v1/tracks/6atrzNHhWlXTolcIKAjSq2,audio_features,spotify:track:6atrzNHhWlXTolcIKAjSq2,0.612
