,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Official HIGE DANdism,1,818760,Pretender,0.0406,https://api.spotify.com/v1/audio-analysis/5LkWXxDxUTwEVHL0pfKL55,0.526,326440,0.86,5LkWXxDxUTwEVHL0pfKL55,0.0,8,0.129,-3.37,1,0.027,91.955,4,https://api.spotify.com/v1/tracks/5LkWXxDxUTwEVHL0pfKL55,audio_features,spotify:track:5LkWXxDxUTwEVHL0pfKL55,0.403
1,Official HIGE DANdism,2,570240,宿命,0.0155,https://api.spotify.com/v1/audio-analysis/3SjtQBle9ChDYCjJzWQkaY,0.596,281067,0.596,3SjtQBle9ChDYCjJzWQkaY,0.0,5,0.104,-5.62,1,0.0323,82.049,4,https://api.spotify.com/v1/tracks/3SjtQBle9ChDYCjJzWQkaY,audio_features,spotify:track:3SjtQBle9ChDYCjJzWQkaY,0.508
2,Aimyon,3,514088,マリーゴールド,0.0452,https://api.spotify.com/v1/audio-analysis/2cKiHG16JBiqHdi7Llq0r7,0.545,306627,0.745,2cKiHG16JBiqHdi7Llq0r7,0.0,2,0.0907,-3.098,1,0.0286,106.094,4,https://api.spotify.com/v1/tracks/2cKiHG16JBiqHdi7Llq0r7,audio_features,spotify:track:2cKiHG16JBiqHdi7Llq0r7,0.413
3,Official HIGE DANdism,4,455194,ノーダウト,0.0585,https://api.spotify.com/v1/audio-analysis/5DMEvbg3gUmiR5HIBWdveV,0.574,202395,0.936,5DMEvbg3gUmiR5HIBWdveV,0.0,2,0.336,-3.185,1,0.07,149.953,4,https://api.spotify.com/v1/tracks/5DMEvbg3gUmiR5HIBWdveV,audio_features,spotify:track:5DMEvbg3gUmiR5HIBWdveV,0.793
4,Masaki Suda,5,434787,Machigaisagashi,0.52,https://api.spotify.com/v1/audio-analysis/4Jj31lihp5Nvdi4lFRjrqc,0.534,223640,0.642,4Jj31lihp5Nvdi4lFRjrqc,0.0,2,0.39,-5.568,1,0.0372,155.916,4,https://api.spotify.com/v1/tracks/4Jj31lihp5Nvdi4lFRjrqc,audio_features,spotify:track:4Jj31lihp5Nvdi4lFRjrqc,0.443
5,King Gnu,6,428117,Hakujitsu,0.67,https://api.spotify.com/v1/audio-analysis/0mNO3xUzjsI17GXO1DRFCH,0.606,274913,0.901,0mNO3xUzjsI17GXO1DRFCH,0.0,1,0.289,-2.552,1,0.11,93.012,4,https://api.spotify.com/v1/tracks/0mNO3xUzjsI17GXO1DRFCH,audio_features,spotify:track:0mNO3xUzjsI17GXO1DRFCH,0.748
6,Aimyon,7,351849,君はロックを聴かない,0.00135,https://api.spotify.com/v1/audio-analysis/59eluCMn0XbOWqeWQ91FTM,0.524,246307,0.687,59eluCMn0XbOWqeWQ91FTM,0.0,7,0.169,-4.039,1,0.0267,99.919,4,https://api.spotify.com/v1/tracks/59eluCMn0XbOWqeWQ91FTM,audio_features,spotify:track:59eluCMn0XbOWqeWQ91FTM,0.619
7,back number,8,313875,高嶺の花子さん,0.066,https://api.spotify.com/v1/audio-analysis/2jdbZGFp8KVTuk0YxDNL4l,0.54,294813,0.923,2jdbZGFp8KVTuk0YxDNL4l,0.0,9,0.124,-2.838,1,0.0623,137.977,4,https://api.spotify.com/v1/tracks/2jdbZGFp8KVTuk0YxDNL4l,audio_features,spotify:track:2jdbZGFp8KVTuk0YxDNL4l,0.343
8,King Gnu,9,309291,Hikoutei,0.0408,https://api.spotify.com/v1/audio-analysis/68KMKHen3fHDgD8z1aBWCK,0.471,261910,0.852,68KMKHen3fHDgD8z1aBWCK,0.0,1,0.329,-3.391,1,0.0462,79.931,4,https://api.spotify.com/v1/tracks/68KMKHen3fHDgD8z1aBWCK,audio_features,spotify:track:68KMKHen3fHDgD8z1aBWCK,0.491
9,Masaki Suda,10,308965,Sayonara Elegy,0.00333,https://api.spotify.com/v1/audio-analysis/0QKmcZNAST4GytJYmkN05D,0.466,257067,0.934,0QKmcZNAST4GytJYmkN05D,0.0,1,0.277,-2.739,1,0.0539,154.966,4,https://api.spotify.com/v1/tracks/0QKmcZNAST4GytJYmkN05D,audio_features,spotify:track:0QKmcZNAST4GytJYmkN05D,0.62
10,Mrs. GREEN APPLE,11,299626,青と夏,0.00184,https://api.spotify.com/v1/audio-analysis/0a3587n25Xhw098UeEbeJq,0.31,270507,0.887,0a3587n25Xhw098UeEbeJq,0.0,4,0.291,-1.654,1,0.0463,184.91,4,https://api.spotify.com/v1/tracks/0a3587n25Xhw098UeEbeJq,audio_features,spotify:track:0a3587n25Xhw098UeEbeJq,0.745
11,Official HIGE DANdism,12,299117,Stand By You,0.00423,https://api.spotify.com/v1/audio-analysis/0XvOvUbvflmXxU8yqnF8Cp,0.593,256344,0.849,0XvOvUbvflmXxU8yqnF8Cp,0.0,1,0.229,-4.833,1,0.0439,154.074,4,https://api.spotify.com/v1/tracks/0XvOvUbvflmXxU8yqnF8Cp,audio_features,spotify:track:0XvOvUbvflmXxU8yqnF8Cp,0.541
12,Aimyon,13,295499,今夜このまま,0.0254,https://api.spotify.com/v1/audio-analysis/6kKvmT4i0Dercz6f3kftg3,0.441,238093,0.852,6kKvmT4i0Dercz6f3kftg3,0.0,1,0.0862,-3.595,1,0.0383,104.855,4,https://api.spotify.com/v1/tracks/6kKvmT4i0Dercz6f3kftg3,audio_features,spotify:track:6kKvmT4i0Dercz6f3kftg3,0.64
13,Aimyon,14,288283,ハルノヒ,0.263,https://api.spotify.com/v1/audio-analysis/7GYGVDPbi0zQUBIkuOPAY0,0.591,326867,0.673,7GYGVDPbi0zQUBIkuOPAY0,0.0,9,0.109,-2.445,1,0.0294,106.956,4,https://api.spotify.com/v1/tracks/7GYGVDPbi0zQUBIkuOPAY0,audio_features,spotify:track:7GYGVDPbi0zQUBIkuOPAY0,0.525
14,DAOKO×米津玄師,15,280485,打上花火,0.288,https://api.spotify.com/v1/audio-analysis/4IouQaO9GkaHC7AtMErdSa,0.625,289578,0.668,4IouQaO9GkaHC7AtMErdSa,0.0,6,0.107,-4.315,1,0.0249,95.968,4,https://api.spotify.com/v1/tracks/4IouQaO9GkaHC7AtMErdSa,audio_features,spotify:track:4IouQaO9GkaHC7AtMErdSa,0.292
15,Mr.Children,16,272705,HANABI,0.156,https://api.spotify.com/v1/audio-analysis/77lmDcPPyY6kK907gdgC6i,0.638,342773,0.766,77lmDcPPyY6kK907gdgC6i,0.0,1,0.124,-5.541,1,0.0268,112.0,4,https://api.spotify.com/v1/tracks/77lmDcPPyY6kK907gdgC6i,audio_features,spotify:track:77lmDcPPyY6kK907gdgC6i,0.595
16,MONGOL800,17,269403,小さな恋のうた,0.00465,https://api.spotify.com/v1/audio-analysis/7swIKcU4tFRk4iFJpi12Fg,0.403,222520,0.87,7swIKcU4tFRk4iFJpi12Fg,0.0,11,0.139,-1.871,1,0.0474,115.398,4,https://api.spotify.com/v1/tracks/7swIKcU4tFRk4iFJpi12Fg,audio_features,spotify:track:7swIKcU4tFRk4iFJpi12Fg,0.549
17,Aimyon,18,264104,真夏の夜の匂いがする,0.0566,https://api.spotify.com/v1/audio-analysis/34s49nvRfQy1kzx7DBqVRC,0.474,233307,0.86,34s49nvRfQy1kzx7DBqVRC,3.57e-06,9,0.14,-2.022,1,0.0921,202.937,4,https://api.spotify.com/v1/tracks/34s49nvRfQy1kzx7DBqVRC,audio_features,spotify:track:34s49nvRfQy1kzx7DBqVRC,0.729
18,Official HIGE DANdism,19,261326,115万キロのフィルム,0.00345,https://api.spotify.com/v1/audio-analysis/278JqkBGkjDovOYAwE8TW7,0.514,324633,0.791,278JqkBGkjDovOYAwE8TW7,0.0,3,0.141,-1.927,1,0.0318,96.966,4,https://api.spotify.com/v1/tracks/278JqkBGkjDovOYAwE8TW7,audio_features,spotify:track:278JqkBGkjDovOYAwE8TW7,0.482
19,[ALEXANDROS],20,241857,ワタリドリ,0.00141,https://api.spotify.com/v1/audio-analysis/0ve9Tpz8Yw0I4eXhWsy21o,0.508,248707,0.964,0ve9Tpz8Yw0I4eXhWsy21o,0.0,9,0.197,-4.077,1,0.0831,134.982,4,https://api.spotify.com/v1/tracks/0ve9Tpz8Yw0I4eXhWsy21o,audio_features,spotify:track:0ve9Tpz8Yw0I4eXhWsy21o,0.609
20,HY,21,236521,366日,0.675,https://api.spotify.com/v1/audio-analysis/22aZD7yaGYfhgCYazL4nbc,0.378,352507,0.426,22aZD7yaGYfhgCYazL4nbc,0.0,8,0.207,-7.314,1,0.0308,152.03,4,https://api.spotify.com/v1/tracks/22aZD7yaGYfhgCYazL4nbc,audio_features,spotify:track:22aZD7yaGYfhgCYazL4nbc,0.184
21,Aimyon,22,230444,愛を伝えたいだとか,0.0345,https://api.spotify.com/v1/audio-analysis/0N8Xztr4pBHJ7V0moJWhbO,0.673,235241,0.85,0N8Xztr4pBHJ7V0moJWhbO,1.14e-05,2,0.0943,-5.021,1,0.0337,100.008,4,https://api.spotify.com/v1/tracks/0N8Xztr4pBHJ7V0moJWhbO,audio_features,spotify:track:0N8Xztr4pBHJ7V0moJWhbO,0.793
22,back number,23,226356,ハッピーエンド,0.047,https://api.spotify.com/v1/audio-analysis/0ssEfLe9aqPhMmLXKqBw6J,0.359,314147,0.648,0ssEfLe9aqPhMmLXKqBw6J,2.43e-06,6,0.16,-3.36,0,0.0373,78.308,4,https://api.spotify.com/v1/tracks/0ssEfLe9aqPhMmLXKqBw6J,audio_features,spotify:track:0ssEfLe9aqPhMmLXKqBw6J,0.336
23,Foorin,24,225787,Paprika,0.137,https://api.spotify.com/v1/audio-analysis/0bdYJCO9clK9ew61Z7GqMf,0.746,208347,0.773,0bdYJCO9clK9ew61Z7GqMf,0.0,11,0.771,-5.04,1,0.0442,100.993,4,https://api.spotify.com/v1/tracks/0bdYJCO9clK9ew61Z7GqMf,audio_features,spotify:track:0bdYJCO9clK9ew61Z7GqMf,0.733
24,Mrs. GREEN APPLE,25,224785,ロマンチシズム,0.00505,https://api.spotify.com/v1/audio-analysis/7BwkDMUfGl0yttRXS13SAO,0.606,213747,0.881,7BwkDMUfGl0yttRXS13SAO,0.0,10,0.0412,-3.141,1,0.0647,125.479,4,https://api.spotify.com/v1/tracks/7BwkDMUfGl0yttRXS13SAO,audio_features,spotify:track:7BwkDMUfGl0yttRXS13SAO,0.886
25,ヨルシカ,26,223876,ただ君に晴れ,0.343,https://api.spotify.com/v1/audio-analysis/3wJHCry960drNlAUGrJLmz,0.679,198971,0.834,3wJHCry960drNlAUGrJLmz,5.74e-06,5,0.119,-3.223,1,0.032,139.996,4,https://api.spotify.com/v1/tracks/3wJHCry960drNlAUGrJLmz,audio_features,spotify:track:3wJHCry960drNlAUGrJLmz,0.962
26,Ed Sheeran,27,222143,Shape of You,0.581,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,0.825,233713,0.652,7qiZfU4dY1lWllzX7mPBI3,0.0,1,0.0931,-3.183,0,0.0802,95.977,4,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.931
27,Shawn Mendes,28,221057,Señorita,0.0392,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,0.759,190800,0.548,6v3KW9xbzN5yKLt9YKDYA2,0.0,9,0.0828,-6.049,0,0.029,116.967,4,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,audio_features,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,0.749
28,Sakanaction,29,217228,新宝島,0.00118,https://api.spotify.com/v1/audio-analysis/6ODZT1FGTE2q4two05giS1,0.557,302493,0.917,6ODZT1FGTE2q4two05giS1,0.00914,7,0.419,-3.426,0,0.0757,158.0,4,https://api.spotify.com/v1/tracks/6ODZT1FGTE2q4two05giS1,audio_features,spotify:track:6ODZT1FGTE2q4two05giS1,0.653
29,Superfly,30,215512,愛をこめて花束を,0.151,https://api.spotify.com/v1/audio-analysis/7CmWXD3w1xOO53AAO4LRVQ,0.37,295600,0.8,7CmWXD3w1xOO53AAO4LRVQ,3.33e-06,7,0.089,-3.403,1,0.0436,161.934,4,https://api.spotify.com/v1/tracks/7CmWXD3w1xOO53AAO4LRVQ,audio_features,spotify:track:7CmWXD3w1xOO53AAO4LRVQ,0.451
30,back number,31,212154,クリスマスソング,0.128,https://api.spotify.com/v1/audio-analysis/5P8ZvBQoCrujjNcLAxO3Su,0.404,340080,0.705,5P8ZvBQoCrujjNcLAxO3Su,0.0,4,0.123,-3.324,1,0.0315,154.02,4,https://api.spotify.com/v1/tracks/5P8ZvBQoCrujjNcLAxO3Su,audio_features,spotify:track:5P8ZvBQoCrujjNcLAxO3Su,0.42
31,GReeeeN,32,211865,愛唄,0.0839,https://api.spotify.com/v1/audio-analysis/7iXHLtPosbHvglVSJ4rxLq,0.505,236253,0.791,7iXHLtPosbHvglVSJ4rxLq,0.0,8,0.187,-3.729,1,0.0308,169.964,4,https://api.spotify.com/v1/tracks/7iXHLtPosbHvglVSJ4rxLq,audio_features,spotify:track:7iXHLtPosbHvglVSJ4rxLq,0.425
32,Ed Sheeran,33,204780,I Don't Care (with Justin Bieber),0.0912,https://api.spotify.com/v1/audio-analysis/0hVXuCcriWRGvwMV1r5Yn9,0.798,219947,0.675,0hVXuCcriWRGvwMV1r5Yn9,0.0,6,0.0894,-5.041,1,0.0442,101.956,4,https://api.spotify.com/v1/tracks/0hVXuCcriWRGvwMV1r5Yn9,audio_features,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,0.842
33,Nissy,34,198719,トリコ,0.0851,https://api.spotify.com/v1/audio-analysis/7H5uStZMOGpcVw7eW0eyTi,0.63,232440,0.8,7H5uStZMOGpcVw7eW0eyTi,0.0,2,0.0618,-3.427,1,0.036,90.02,4,https://api.spotify.com/v1/tracks/7H5uStZMOGpcVw7eW0eyTi,audio_features,spotify:track:7H5uStZMOGpcVw7eW0eyTi,0.717
34,Motohiro Hata,35,198274,ひまわりの約束,0.188,https://api.spotify.com/v1/audio-analysis/45jGOHwYKgsRYbAJ8DR61d,0.523,308147,0.445,45jGOHwYKgsRYbAJ8DR61d,0.0,10,0.18,-6.359,1,0.0329,78.957,4,https://api.spotify.com/v1/tracks/45jGOHwYKgsRYbAJ8DR61d,audio_features,spotify:track:45jGOHwYKgsRYbAJ8DR61d,0.336
35,Ariana Grande,36,198176,boyfriend (with Social House),0.119,https://api.spotify.com/v1/audio-analysis/0Ryd8975WihbObpp5cPW1t,0.4,186107,0.795,0Ryd8975WihbObpp5cPW1t,0.0,10,0.159,-3.731,0,0.461,190.097,4,https://api.spotify.com/v1/tracks/0Ryd8975WihbObpp5cPW1t,audio_features,spotify:track:0Ryd8975WihbObpp5cPW1t,0.702
