,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.637,0.877,-3.68,0.198,0.469,0.0,0.343,0.691,118.889
1,0.746,0.787,-6.373,0.12,0.214,0.0,0.0669,0.607,95.005
2,0.687,0.411,-8.619,0.0338,0.866,0.0,0.0967,0.184,101.851
3,0.376,0.834,-4.303,0.08,0.549,0.0,0.412,0.329,125.171
4,0.847,0.847,-6.92,0.353,0.475,0.0,0.118,0.741,149.947
5,0.853,0.506,-5.406,0.508,0.402,0.0,0.141,0.827,164.131
6,0.677,0.822,-1.256,0.64,0.0941,1.42e-05,0.0639,0.804,150.084
7,0.655,0.963,-5.72,0.0599,0.013,0.564,0.0734,0.677,123.998
8,0.724,0.648,-5.286,0.0323,0.0827,0.0,0.104,0.423,124.021
9,0.659,0.79,-5.694,0.327,0.16,0.0,0.376,0.754,90.084
10,0.807,0.385,-8.162,0.0949,0.396,0.000135,0.293,0.494,96.044
11,0.753,0.581,-6.761,0.0364,0.0657,2.14e-06,0.0998,0.546,94.98
12,,,,,,,,,
13,0.78,0.506,-10.996,0.172,0.568,0.0,0.24,0.708,90.031
14,0.715,0.748,-7.212,0.124,0.558,0.0,0.138,0.82,129.906
15,0.702,0.855,-2.914,0.0592,0.48,0.0,0.312,0.915,169.984
16,0.755,0.951,-3.047,0.0674,0.0396,0.0,0.293,0.764,95.044
17,0.86,0.706,-3.461,0.0401,0.362,0.0,0.362,0.664,127.046
18,0.621,0.74,-5.922,0.0888,0.664,0.0,0.377,0.689,91.457
19,0.703,0.711,-5.627,0.307,0.248,0.0,0.227,0.59,139.878
20,0.875,0.91,-2.375,0.0634,0.526,1.61e-05,0.0582,0.974,150.072
21,0.846,0.379,-3.812,0.0421,0.164,0.0,0.0981,0.789,130.051
22,0.892,0.353,-6.402,0.179,0.0404,0.0,0.0997,0.531,89.878
23,0.713,0.359,-7.982,0.142,0.706,0.0,0.286,0.887,131.852
24,0.618,0.66,-8.14,0.0372,0.0292,2.07e-06,0.325,0.408,105.0
25,0.715,0.357,-9.001,0.0558,0.418,1.66e-06,0.114,0.388,119.902
26,0.669,0.895,-3.787,0.0575,0.128,0.0,0.297,0.576,124.964
27,0.686,0.693,-6.245,0.131,0.329,0.0,0.136,0.699,124.206
28,0.59,0.642,-3.87,0.122,0.0771,0.0,0.105,0.651,107.356
29,0.648,0.433,-5.533,0.147,0.496,0.0,0.0996,0.614,87.997
30,0.839,0.769,-6.48,0.089,0.0211,0.0,0.121,0.452,107.019
31,0.676,0.545,-9.565,0.316,0.412,9.92e-06,0.258,0.364,99.974
32,0.726,0.199,-13.649,0.12,0.58,0.0,0.117,0.139,100.026
33,0.828,0.412,-12.16,0.0835,0.213,0.749,0.0883,0.459,130.034
34,0.882,0.228,-14.111,0.203,0.265,0.00404,0.0859,0.483,119.992
35,0.796,0.586,-6.946,0.147,0.0247,0.0,0.132,0.179,97.981
36,0.647,0.689,-8.215,0.393,0.109,0.0,0.187,0.584,134.561
37,0.707,0.543,-4.61,0.279,0.151,0.0,0.384,0.824,144.18
38,0.644,0.59,-6.358,0.168,0.0221,0.0,0.18,0.669,87.915
39,0.729,0.69,-3.905,0.233,0.118,0.0,0.212,0.247,100.006
40,0.712,0.843,-6.569,0.0771,0.00019,0.00675,0.828,0.381,122.024
41,0.638,0.698,-6.685,0.064,0.083,0.0,0.126,0.175,88.051
42,0.781,0.705,-4.51,0.134,0.297,0.0,0.118,0.615,82.523
