,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.794,0.555,-11.069,0.0668,0.0654,0.0,0.146,0.444,109.976
1,0.858,0.589,-5.392,0.0952,0.00885,4.3e-05,0.0394,0.907,114.976
2,0.791,0.656,-8.366,0.0742,0.156,0.0,0.18,0.744,93.011
3,0.753,0.801,-4.308,0.0666,0.0935,0.0,0.0771,0.901,112.101
4,0.818,0.631,-8.951,0.0374,0.0278,0.0,0.114,0.597,110.002
5,0.687,0.907,-5.917,0.0341,0.00105,0.000149,0.26,0.661,127.971
6,0.7,0.912,-5.471,0.0382,0.0734,0.0,0.0658,0.968,106.977
7,0.692,0.805,-3.678,0.0896,0.0164,0.0,0.117,0.711,106.994
8,0.727,0.906,-4.926,0.0393,0.0687,0.0,0.376,0.818,106.992
9,0.71,0.866,-4.503,0.0608,0.0864,0.0,0.385,0.518,99.958
10,0.721,0.796,-4.956,0.0301,0.231,0.0,0.228,0.674,93.021
11,0.774,0.654,-6.932,0.234,0.192,0.0,0.303,0.846,166.001
12,0.779,0.844,-4.509,0.085,0.152,0.0,0.0778,0.967,149.88
13,0.815,0.8,-3.571,0.0357,0.39,0.0,0.125,0.936,88.02
14,0.805,0.685,-5.49,0.0425,0.0448,0.0,0.159,0.75,103.004
15,0.73,0.885,-2.902,0.116,0.109,1.73e-05,0.117,0.799,177.939
16,0.814,0.721,-4.998,0.0401,0.224,0.0,0.0632,0.677,93.981
17,0.623,0.845,-2.756,0.0574,0.409,0.0,0.146,0.412,96.071
18,0.55,0.893,-4.524,0.0641,0.696,0.0,0.33,0.91,91.982
19,0.709,0.819,-5.82,0.0559,0.127,0.0,0.0672,0.897,104.969
20,0.793,0.605,-6.188,0.0535,0.101,0.0,0.0768,0.892,113.03
21,0.734,0.881,-3.372,0.164,0.134,0.0,0.172,0.865,102.013
22,0.735,0.915,-3.544,0.0336,0.108,0.0,0.0788,0.962,108.003
23,0.669,0.902,-3.386,0.0334,0.0454,0.0,0.0937,0.94,104.971
24,0.588,0.682,-7.169,0.173,0.0851,2.69e-05,0.084,0.937,205.643
25,0.652,0.733,-6.368,0.0906,0.0456,0.0,0.103,0.754,108.062
26,0.767,0.82,-4.936,0.137,0.0222,0.0,0.0493,0.785,110.076
27,0.828,0.849,-4.43,0.0749,0.162,0.0,0.0967,0.966,100.014
28,0.708,0.951,-2.864,0.0757,0.157,0.0,0.355,0.663,95.969
29,0.711,0.637,-6.39,0.0414,0.447,0.0,0.227,0.889,98.028
30,0.483,0.812,-6.624,0.0572,0.0593,0.0,0.252,0.917,104.941
31,0.81,0.687,-7.455,0.0396,0.0201,0.0,0.147,0.95,104.976
32,0.597,0.793,-3.918,0.0388,0.218,0.0,0.332,0.234,99.988
33,0.543,0.81,-5.826,0.199,0.034,0.0,0.0432,0.674,205.755
34,0.437,0.755,-6.728,0.11,0.549,0.0,0.355,0.705,100.382
35,0.811,0.676,-8.043,0.0385,0.342,0.0,0.123,0.958,88.009
36,0.812,0.751,-4.855,0.0473,0.139,0.0,0.357,0.904,87.985
37,0.677,0.704,-7.214,0.0496,0.0317,1.37e-06,0.0796,0.852,89.96
38,0.808,0.59,-5.699,0.0455,0.0319,0.0,0.169,0.745,110.029
